original_address,lat,lon,formatted,district,name,suburb,postcode,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"Las Vegas, Nevada, USA",36.1672559,-115.148516,"Las Vegas, NV, United States of America",,,,,,Las Vegas,Clark County,Nevada,NV,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Abu Dhabi, Abu Dhabi, United Arab Emirates",24.4538352,54.3774014,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",,,,,,Abu Dhabi,,Abu Dhabi Emirate,,United Arab Emirates,ae,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Jacksonville, Florida, USA",30.3321838,-81.655651,"Jacksonville, FL, United States of America",,,,,,Jacksonville,Duval County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Brasilia, Distrito Federal, Brazil",-15.7934036,-47.8823172,"Brasília - Federal District, 70701-000, Brazil",,Brasília,,70701-000,,Brasília,Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Federal District,,Brazil,br,1,0.4782969000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Norfolk, Virginia, USA",36.8448348,-76.2863999,"Norfolk, VA, United States of America",,,,,,Norfolk,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Auckland, New Zealand",-36.852095,174.7631803,"Auckland 1010, New Zealand",,Auckland,,1010,,Auckland,,Auckland,AUK,New Zealand,nz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rio Rancho, New Mexico, USA",35.2702448,-106.6329806,"Rio Rancho, NM, United States of America",,,,,,Rio Rancho,Sandoval County,New Mexico,NM,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Houston, Texas, USA",29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,Houston,Harris County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Raleigh, North Carolina, USA",35.7803977,-78.6390989,"Raleigh, NC, United States of America",,,,,,Raleigh,Wake County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Busan, South Korea",35.1799528,129.0752365,"Busan, South Korea",,,,,,Busan,,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Washington, DC, USA",38.8950368,-77.0365427,"Washington, DC, United States of America",,,,,,Washington,,District of Columbia,DC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sao Paulo, Sao Paulo, Brazil",-23.5506507,-46.6333824,"São Paulo, Região Metropolitana de São Paulo, Brazil",,,,,,São Paulo,Região Metropolitana de São Paulo,São Paulo,SP,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Moscow, Moscow, Russia",55.7505412,37.6174782,"Moscow, Russia",,Moscow,,,,Moscow,,Moscow,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"New York City, New York, USA",40.7127281,-74.0060152,"New York, NY, United States of America",,,,,,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kallang, Singapore",1.310759,103.866262,"Kallang, Singapore",,Kallang,Kallang,,,Singapore,Central,,,Singapore,sg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Boston, Massachusetts, USA",42.3554334,-71.060511,"Boston, MA, United States of America",,,,,,Boston,Suffolk County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Tampa, Florida, USA",27.9477595,-82.458444,"Tampa, FL, United States of America",,,,,,Tampa,Hillsborough County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Melbourne, Victoria, Australia",-37.8142454,144.9631732,"Melbourne, VIC, Australia",,,,,,Melbourne,,Victoria,VIC,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Copenhagen, Denmark",55.6867243,12.5700724,"1357 Copenhagen, Denmark",,Copenhagen,,1357,,Copenhagen,,Capital Region of Denmark,,Denmark,dk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Mexico City, Distrito Federal, Mexico",19.4326296,-99.1331785,"Mexico City, Mexico",,,,,,Mexico City,,,,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Vancouver, British Columbia, Canada",49.2608724,-123.113952,"Vancouver, BC, Canada",,,,,,Vancouver,Metro Vancouver Regional District,British Columbia,BC,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shenzhen, Guangdong, China",22.5445741,114.0545429,"Shenzhen, Guangdong Province, China",,,,,,Shenzhen,,Guangdong Province,,China,cn,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Anaheim, California, USA",33.8347516,-117.911732,"Anaheim, CA, United States of America",,,,,,Anaheim,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Montevideo, Uruguay",-34.9058916,-56.1913095,"Montevideo, MO, Uruguay",,,,,,Montevideo,,Montevideo,MO,Uruguay,uy,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Newark, New Jersey, USA",40.735657,-74.1723667,"Newark, NJ, United States of America",,,,,,Newark,Essex County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Edmonton, Alberta, Canada",53.5462055,-113.491241,"Edmonton, AB, Canada",,Edmonton,,,,Edmonton,Division No. 11,Alberta,AB,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"San Antonio, Texas, USA",29.4246002,-98.4951405,"San Antonio, TX, United States of America",,,,,,San Antonio,Bexar County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sacramento, California, USA",38.5810606,-121.493895,"Sacramento, CA, United States of America",,,,,,Sacramento,Sacramento County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Minneapolis, Minnesota, USA",44.9772995,-93.2654692,"Minneapolis, MN, United States of America",,,,,,Minneapolis,Hennepin County,Minnesota,MN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Greenville, South Carolina, USA",34.851354,-82.3984882,"Greenville, SC, United States of America",,,,,,Greenville,Greenville County,South Carolina,SC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Chicago, Illinois, USA",41.8755616,-87.6244212,"Chicago, IL, United States of America",,,,,,Chicago,Cook County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Stockholm, Sweden",59.3251172,18.0710935,"Stockholm, Stockholm County, Sweden",,,,,,Stockholm,Stockholm County,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rochester, New York, USA",43.157285,-77.615214,"Rochester, NY, United States of America",,,,,,Rochester,Monroe County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rio de Janeiro, Rio de Janeiro, Brazil",-22.9110137,-43.2093727,"Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Brazil",,,,,,Rio de Janeiro,Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RJ,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ottawa, Ontario, Canada",45.4208777,-75.6901106,"Ottawa, ON, Canada",,,,,,Ottawa,Eastern Ontario,Ontario,ON,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sunrise, Florida, USA",26.1666888,-80.2787573,"Sunrise, Sunrise, FL, United States of America",,,Sunrise,,,Sunrise,Broward County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Saint Petersburg, Saint Petersburg, Russia",59.938732,30.316229,"Saint Petersburg, Russia",,Saint Petersburg,,,,Saint Petersburg,,Saint Petersburg,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Atlanta, Georgia, USA",33.7489924,-84.3902644,"Atlanta, GA, United States of America",,,,,,Atlanta,Fulton County,Georgia,GA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Philadelphia, Pennsylvania, USA",39.9527237,-75.1635262,"Philadelphia, PA, United States of America",,,,,,Philadelphia,,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Nashville, Tennessee, USA",36.1622767,-86.7742984,"Nashville, TN, United States of America",,,,,,Nashville,Davidson County,Tennessee,TN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"London, England, United Kingdom",51.5073359,-0.12765,"London, ENG, United Kingdom",,London,,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Wichita, Kansas, USA",37.6922361,-97.3375448,"Wichita, KS, United States of America",,,,,,Wichita,Sedgwick County,Kansas,KS,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Prague, Czech Republic",50.0874654,14.4212535,"Prague, Czechia",,,,,,Prague,,Prague,,Czechia,cz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phoenix, Arizona, USA",33.4484367,-112.074141,"Phoenix, AZ, United States of America",,,,,,Phoenix,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Fortaleza, Ceara, Brazil",-3.7304512,-38.5217989,"Fortaleza, Região Geográfica Intermediária de Fortaleza, Brazil",,,,,,Fortaleza,Região Geográfica Intermediária de Fortaleza,Ceará,CE,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Brooklyn, New York, USA",40.6526006,-73.9497211,"Brooklyn, New York, NY, United States of America",,,Brooklyn,,,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Los Angeles, California, USA",34.0536909,-118.242766,"Los Angeles, CA, United States of America",,,,,,Los Angeles,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Milwaukee, Wisconsin, USA",43.0349931,-87.922497,"Milwaukee, WI, United States of America",,,,,,Milwaukee,Milwaukee County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Toronto, Ontario, Canada",43.6534817,-79.3839347,"Toronto, ON, Canada",,,,,,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Adelaide, South Australia, Australia",-34.9281805,138.5999312,"Adelaide, Adelaide City Council, Australia",,,,,,Adelaide,Adelaide City Council,South Australia,SA,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Beijing, China",39.9057136,116.3912972,"100010 Beijing, China",,Beijing,,100010,,Beijing,,Beijing,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Buenos Aires, Buenos Aires, Argentina",-34.6075682,-58.4370894,"Comuna 6, Buenos Aires, Argentina",Comuna 6,,,,,Buenos Aires,,,,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Denver, Colorado, USA",39.7392364,-104.984862,"Denver, CO, United States of America",,,,,,Denver,,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Moncton, New Brunswick, Canada",46.097995,-64.80011,"Moncton, NB, Canada",,,,,,Moncton,Westmorland County,New Brunswick,NB,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Dallas, Texas, USA",32.7762719,-96.7968559,"Dallas, TX, United States of America",,,,,,Dallas,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lincoln, Nebraska, USA",40.8088861,-96.7077751,"Lincoln, NE, United States of America",,,,,,Lincoln,Lancaster County,Nebraska,NE,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Calgary, Alberta, Canada",51.0456064,-114.057541,"Calgary, AB, Canada",,,,,,Calgary,,Alberta,AB,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Hamburg, Hamburg, Germany",53.5293836,9.9868308,"Hamburg-Mitte, Hamburg, Germany",Hamburg-Mitte,,,,,Hamburg,,,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Boise, Idaho, USA",43.6166163,-116.200886,"Boise, ID 83701, United States of America",,Boise,,83701,,Boise,Ada County,Idaho,ID,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Utica, New York, USA",43.1009031,-75.2326641,"Utica, NY, United States of America",,,,,,Utica,Oneida County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Liverpool, England, United Kingdom",53.4071991,-2.99168,"yes, Liverpool, ENG, United Kingdom",yes,,,,,Liverpool,Liverpool City Region,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Santiago, Chile",-33.4377756,-70.6504502,"Santiago, Provincia de Santiago, Chile",,,,,,Santiago,Provincia de Santiago,Santiago Metropolitan Region,,Chile,cl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Atlantic City, New Jersey, USA",39.3642852,-74.4229351,"Atlantic City, NJ 08401, United States of America",,,,08401,,Atlantic City,Atlantic County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Glendale, Arizona, USA",33.5386858,-112.185994,"Glendale, AZ, United States of America",,,,,,Glendale,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Orlando, Florida, USA",28.5421109,-81.3790304,"Orlando, FL, United States of America",,,,,,Orlando,Orange County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Austin, Texas, USA",30.2711286,-97.7436995,"Austin, TX, United States of America",,,,,,Austin,Travis County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Perth, Western Australia, Australia",-31.9558933,115.8605855,"Perth WA 6000, Australia",,Perth,,6000,,Perth,City of Perth,Western Australia,WA,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Belem, Para, Brazil",-1.45056,-48.4682453,"Belém, Região Geográfica Intermediária de Belém, Brazil",,,,,,Belém,Região Geográfica Intermediária de Belém,Pará,PA,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Charlotte, North Carolina, USA",35.2272086,-80.8430827,"Charlotte, NC, United States of America",,,,,,Charlotte,Mecklenburg County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"St. Louis, Missouri, USA",38.6280278,-90.1910154,"St. Louis, MO, United States of America",,,,,,St. Louis,,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Winnipeg, Manitoba, Canada",49.8955367,-97.1384584,"Winnipeg, MB, Canada",,,,,,Winnipeg,Division No. 11,Manitoba,MB,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Fresno, California, USA",36.7394421,-119.78483,"Fresno, CA, United States of America",,,,,,Fresno,Fresno County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Detroit, Michigan, USA",42.3315509,-83.0466403,"Detroit, MI, United States of America",,,,,,Detroit,Wayne County,Michigan,MI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Shanghai, Hebei, China",40.1840602,117.5932807,"Shanghai, Zunhua City, Hebei, China",,Shanghai,,,,Zunhua City,,Hebei,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Sydney, New South Wales, Australia",-33.8698439,151.2082848,"Sydney NSW 2000, Australia",,Sydney,,2000,,Sydney,,New South Wales,NSW,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Gdansk, Poland",54.3482907,18.6540233,"Gdansk, Pomeranian Voivodeship, Poland",,,,,,Gdansk,,Pomeranian Voivodeship,,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Saitama, Saitama, Japan",35.8616402,139.6457957,"Saitama, Saitama Prefecture, Japan",,,,,,Saitama,Saitama Prefecture,,,Japan,jp,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Pittsburgh, Pennsylvania, USA",40.4416941,-79.9900861,"Pittsburgh, PA, United States of America",,,,,,Pittsburgh,Allegheny County,Pennsylvania,PA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Rotterdam, Zuid-Holland, Netherlands",51.9244424,4.47775,"Rotterdam, ZH, Netherlands",,,,,,Rotterdam,,South Holland,ZH,Netherlands,nl,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Uniondale, New York, USA",40.7095827,-73.592341,"Uniondale, NY, United States of America",,,,,,Uniondale,Nassau County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Glasgow, Scotland, United Kingdom",55.861155,-4.2501687,"Glasgow, G2 1DY, United Kingdom",,Glasgow,,G2 1DY,GLG,Glasgow,Glasgow City,Scotland,SCT,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Oklahoma City, Oklahoma, USA",35.4729886,-97.5170536,"Oklahoma City, OK, United States of America",,,,,,Oklahoma City,Oklahoma County,Oklahoma,OK,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Kansas City, Missouri, USA",39.100105,-94.5781416,"Kansas City, MO, United States of America",,,,,,Kansas City,Jackson County,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
